NO CLIENTE,NÚMERO DE PEDIDO,NOMBRE DEL CLIENTE,FECHA DE ENVÍO,FLETERA,NÚMERO DE GUÍA,COSTO DE LA GUÍA,PROMESA DE ENTREGA,FECHA DE ENTREGA REAL,DESTINO,CANTIDAD DE CAJAS,COMENTARIOS
C02016,232122,CITY EXPRESS ZACATECAS (CEZCL),08/12/2025,TRES GUERRAS,GLZ02730928,1080,11/12/2025,09/12/2025,"ZACATECAS, ZAC.",18,Sin Incidencias
C06338,232124,LA MARTINE 619,08/12/2025,TRES GUERRAS,GLZ02730946,300,10/12/2025,10/12/2025,"POLANCO V SECCION, CMX.",5,Sin Incidencias
C07253,232125,CITY EXPRESS ROSARITO (CEROS),09/12/2025,TRES GUERRAS,GLZ02733333,712,14/12/2025,13/12/2025,"PLAYAS DE ROSARITO, BC.",8,Sin Incidencias
C01712,232126,CITY EXPRESS CIUDAD JUAREZ(CECJS) / JIPJUA,09/12/2025,TRES GUERRAS,GLZ02733330,1780,14/12/2025,16/12/2025,"JUAREZ, CHI.",20,Sin Incidencias
C01915,232128,COURTYARD TUXPAN,09/12/2025,ONE,JALGDL 237780,1411,13/12/2025,12/12/2025,"TUXPAN, VER.",15,Sin Incidencias
C08334,232131,AVID FRESNILLO (ZCLAV),09/12/2025,TRES GUERRAS,GLZ02733357,400,12/12/2025,10/12/2025,"FRESNILLO, ZAC.",4,Sin Incidencias
C07058,232132,FAIRFIELD INN AND SUITES SILAO,09/12/2025,TRES GUERRAS,GLZ02733339,420,11/12/2025,12/12/2025,"SILAO, GTO.",7,Sin Incidencias
C03485,232134,COURTYARD MARRIOTT SAN JERONIMO 9392Y,09/12/2025,ONE,JALGDL 237772,2474,11/12/2025,17/12/2025,"MONTERREY, NL.",49,Sin Incidencias
C03306,232135,HOTEL NEKIE,09/12/2025,TINY PACK,GDL 42489,374.83,11/12/2025,12/12/2025,"TEPIC, NAY.",7,Sin Incidencias
C08489,232136,DECAMERON LOS COCOS,09/12/2025,SANCHEZ,2838180,2316.78,11/12/2025,11/12/2025,"RINCON DE GUAYABITOS, NAY.",57,Sin Incidencias
C08447,232137,DECAMERON COMPLEX A0157904,09/12/2025,SANCHEZ,2838181,3984.67,11/12/2025,11/12/2025,"Bucerias, NAY.",100,Sin Incidencias
C09523,232138,HOTEL MISION XALAPA,09/12/2025,TRES GUERRAS,GLZ02733350,890,13/12/2025,16/12/2025,"XALAPA, VER.",10,Sin Incidencias
C00464,232139,QUALITY INN CD OBREGON (143212),12/12/2025,TINY PACK,GDL 43099,157.6,16/12/2025,16/12/2025,"CIUDAD OBREGON, SON.",7,Sin Incidencias
C00607,232140,HOLIDAY INN MONTERREY NORTE (MTYMX),09/12/2025,ONE,JALGDL 237771,754.1,12/12/2025,17/12/2025,"SAN NICOLAS DE LOS GARZA, NL.",15,Sin Incidencias
C09411,232143,HOLIDAY INN CUERNAVACA (CVJMX),10/12/2025,TRES GUERRAS,GLZ02735382,420,13/12/2025,12/12/2025,"CUERNAVACA, MOR.",7,Sin Incidencias
C09529,232144,PRESIDENTE INTERCONTINENTAL MONTERREY,09/12/2025,ONE,JALGDL 237775,307.5,11/12/2025,15/12/2025,"SAN PEDRO GARZA GARCÍA, NL.",2,Sin Incidencias
C08624,232145,HOLIDAY INN & SUITES PUERTO VALLARTA (PVRIF),09/12/2025,TRES GUERRAS,GLZ02733410,1874.8,11/12/2025,10/12/2025,"PUERTO VALLARTA, JAL.",52,Sin Incidencias
C08527,232147,HOLIDAY INN EXPRESS & SUITES CIUDAD OBREGON (CENAR),09/12/2025,TINY PACK,GDL 42479,177.5,13/12/2025,11/12/2025,"CIUDAD OBREGON, SON.",3,Sin Incidencias
C09564,232153,INDIGO PLAYA DEL CARMEN,09/12/2025,TRES GUERRAS,GLZ02733354,445,14/12/2025,15/12/2025,"PLAYA DEL CARMEN, QR.",5,Sin Incidencias
C06539,232155,PRESIDENTE INTERCONTINENTAL POLANCO,09/12/2025,ONE,JALGDL 237780,53,11/12/2025,12/12/2025,"CIUDAD DE MEXICO, CMX.",1,Sin Incidencias
C09529,232157,PRESIDENTE INTERCONTINENTAL MONTERREY,09/12/2025,ONE,JALGDL 237769,795,11/12/2025,15/12/2025,"SAN PEDRO GARZA GARCÍA, NL.",15,Sin Incidencias
C07325,232158,HOTEL MEDRANO,09/12/2025,ONE,JALGDL 237773,307.5,11/12/2025,12/12/2025,"AGUASCALIENTES, AGS.",4,Sin Incidencias
